Abanderar,	To register
Registrar, To register
Abrir,To open
Aburrir,To bore
Acabar,To finish
Aceptar,To accept
Acordar,To do something
Acostar,To go to bed
Almorzar,To have lunch
Amar,To love
Andar,To walk
Apagar,To turn Off
Apagar,Put out
Apagar,Extinguish
Aprender,To learn
Asistir,To assist 
Asistir, attend
Ayudar,To help
Bailar,To dance
Bajar,To go down
Bajar,To get off (bus)
Beber,To drink
Buscar,To look for
Caber,To fit
Caer,To fall
Cambiar,To change
Cantar,To sing
Casar,To marry
Cenar,To have dinner
Cerrar,To close
Cocinar,To cook
Coger,To take
Coger,To catch
Comenzar,To start
Comer,To eat
Compartir,To share
Comprar,To buy
Comprender,To understand
Conducir,To driver
Conocer,To know
Conseguir,To obtain
Construir,To build
Contar,To count
Corregir,To correct
Correr,To run
Cortar,To cut
Costar,To cost
Crear,To create
Crecer,To grow
Creer,To think
Cruzar,To cross
Cubrir,To cover
Dar,To give
Deber,To must
Decidir,To decide
Decir,To say
Defender,To defend 
Dejar,To leave
Desayunar,To have breakfast
Descubrir,To discover
Desear,To wish
Despedir,To say goodbye
Despertar,To wake up
Destruir,To destroy
Devolver,To return
Dirigir,To manage
Divertir,To have fun
Doler,to hurt
Dormir,To sleep
Duchar,To take a shower
Echar,To throw
Elegir,To choose
Empezar,To begin
Encantar,To love something
Encender,To turn on
Encontrar,To find
Entender,To understand
Entrar,To go in
Enviar,To send
Escoger,To choose
Escribir,To writte
Escuchar,To listen
Esperar,To wait
Estar,To be
Estudiar,To study
Exigir,To demand
Explicar,To explain
Ganar,To win
Gastar,To spend
Gustar,To like
Haber,To have
Habilitar,To fit out
Habilitar,Authorise
Habitar,To inhabit
Habituar,To get used to
Hablar,To speak
Hacer,To make, to do
Hackear,To hack
Halagar,To flatter
Hartar,To get bored of
Helar,To freeze
Henchir,To fill
Herir,To hurt
Hervir,To boil
Hinchar,To swell
Hospedar,To provide accomodation
Hostigar,To bother
Huir,To run away
Incluir,To include
Ir,To go
Jugar,To play
Lavar,To wash
Leer,To read
Levantar,To raise
Limpiar,To clean
Llamar,To call
Llenar,To fill
Llegar,To arrive
Llevar,To carry
Llevar, To wear
Llorar,To cry
Llover,To rain
Mandar,To order
Manejar,To handle
Manejar, To manage
Mantener,To maintain
Medir,To measure
Mentir,To lie
Mirar,To look at
Mirar, To wash
Morir,To die
Mostrar,To show
Mover,To move
Nacer,To be born
Nadar,To swim
Necesitar,To need
Obtener,To obtain
Ofrecer,To offer
Oír,To hear
Oler,To smell
Olvidar,To forget
Organizar,To organize
Pagar,To pay
Parar,To stop
Parecer,To look like
Pasar,To pass
Pedir,To ask
Pensar,To think
Perder,To lose
Permitir,To allow
Poder,Be able to
Poner,To put
Practicar,To practise
Preferir,To prefer
Preguntar,To ask
Preparar,To prepare
Prestar,To lend
Probar,To try
Probar, To taste
Proteger,To protect
Quedar,To stay
Quejar,To complain
Querer,To want
Quitar,To take off
Recibir,To receive
Recoger,To pick up
Recomendar,To recommend
Recordar,To remember
Regresar,To go back
Reír,To laugh
Repetir,To repeat
Resolver,to resolve
Rogar,To beg
Romper,To break
Rezar,To pray
Remar,To row
Saber,To know
Sacar,To take out
Salir,To go out
Secar,To dry
Seguir,To follow
Sentar,To sit, seat
Sentir,To feel
Ser,To be
Servir,To serve
Sofreír,To saute
Soler,To ussually do something
Sonar,To sound
Sonreír,To smile
Subir,To go up
Sugerir,To suggest
Sumergir,To submerge
Tener,To have
Terminar,To finish
Tocar,To touch
Tomar,To take
Trabajar,To work
Traducir,To translate
Traer,To bring
Tratar,To treat
Tratar, To try
Usar,To use
Valer,To be worth
Velar,To guard
Vender,To sell
Venir,To come
Ver,To see
Vestir,To wear
Viajar,To travel
Visitar,To visit
Vivir,To live
Volar,To fly
Volver,To return
Violar,To violate
